t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479839.467045,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.472190,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.477131,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.482089,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.487117,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.492158,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.497214,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.502186,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.507184,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.512121,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.517126,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.522163,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.530197,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.532117,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.537120,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.542106,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.547118,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.552166,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.559197,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.562157,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.567094,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.574194,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.577131,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.582140,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.587127,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.592154,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.597179,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.602190,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.607171,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.612164,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.617127,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.622159,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.627097,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.633228,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.637157,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.642236,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.647195,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.654242,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.657186,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.662142,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.667169,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.672164,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.677081,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.682455,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.687158,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.692306,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.697232,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.702334,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.707236,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.712154,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.717084,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.722038,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.727014,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.731993,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.737148,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.741978,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.747114,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.752027,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.757121,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.762172,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.767044,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.772195,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.777120,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.782081,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.787014,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.792203,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.797346,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.802088,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.807261,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.812150,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.817145,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.822211,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.827314,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.832059,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.837189,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.841948,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.847042,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.852037,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.857131,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.862127,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.867036,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.872130,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.877041,0,0,0,0,0,0,0,0,0,0,0,0,0
