t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6
479839.251864,1,-0.717984,0.0150776,0.993463,-2.24299,0.51905,2.46051,0.651231
479839.256847,1,-0.717982,0.0150742,0.993458,-2.24299,0.519049,2.46051,0.651234
479839.261929,1,-0.717984,0.0150746,0.993455,-2.24299,0.519048,2.46051,0.651236
479839.266820,1,-0.717982,0.0150776,0.993461,-2.24299,0.519047,2.46051,0.651233
479839.271875,1,-0.717988,0.0150851,0.993457,-2.24299,0.519049,2.46051,0.65123
479839.276840,1,-0.717986,0.0150815,0.993457,-2.24299,0.519049,2.4605,0.65123
479839.281828,1,-0.717984,0.0150769,0.99346,-2.24299,0.519049,2.46051,0.651237
479839.286847,1,-0.717985,0.0150775,0.993457,-2.24299,0.519046,2.46051,0.651236
479839.291872,1,-0.717986,0.015076,0.993457,-2.24299,0.519049,2.46051,0.651237
479839.296897,1,-0.717986,0.0150807,0.993459,-2.24299,0.519049,2.4605,0.651235
479839.301944,1,-0.717984,0.0150759,0.993464,-2.24299,0.519051,2.46051,0.651237
479839.306893,1,-0.717984,0.015078,0.993459,-2.24299,0.519051,2.46051,0.65123
479839.314222,1,-0.717985,0.0150813,0.993457,-2.24299,0.519047,2.46051,0.651233
479839.316799,1,-0.717985,0.0150766,0.993459,-2.24299,0.519048,2.46051,0.651231
479839.325231,1,-0.717984,0.0150793,0.993457,-2.24299,0.519047,2.4605,0.651237
479839.326821,1,-0.717984,0.0150758,0.993455,-2.24299,0.519046,2.46051,0.651236
479839.331802,1,-0.717984,0.0150761,0.993459,-2.24299,0.51905,2.46051,0.651233
479839.336821,1,-0.717982,0.0150778,0.993463,-2.24299,0.519045,2.4605,0.651232
479839.341820,1,-0.717986,0.0150778,0.993461,-2.24299,0.519044,2.46051,0.651232
479839.346841,1,-0.717984,0.0150759,0.993459,-2.24299,0.51905,2.46051,0.65123
479839.354349,1,-0.717984,0.0150814,0.993458,-2.24299,0.519048,2.4605,0.651232
479839.356815,1,-0.717985,0.01508,0.993457,-2.24299,0.519049,2.46051,0.651236
479839.361837,1,-0.717984,0.0150779,0.993461,-2.24299,0.519049,2.4605,0.651229
479839.366792,1,-0.717984,0.0150762,0.993461,-2.24299,0.519044,2.46051,0.651235
479839.372209,1,-0.717991,0.0150797,0.993454,-2.24299,0.519045,2.46051,0.651228
479839.376764,1,-0.717984,0.0150813,0.993463,-2.24299,0.519045,2.46051,0.651236
479839.381796,1,-0.717983,0.0150776,0.993455,-2.24299,0.519049,2.46051,0.651231
479839.386837,1,-0.717984,0.0150793,0.993457,-2.24299,0.519049,2.46051,0.651234
479839.391888,1,-0.717984,0.0150776,0.993459,-2.24299,0.519047,2.46051,0.651233
479839.396874,1,-0.717984,0.0150804,0.993457,-2.24299,0.519047,2.46051,0.651235
479839.401885,1,-0.717985,0.0150759,0.993455,-2.24298,0.519048,2.46051,0.651238
479839.406897,1,-0.717984,0.0150798,0.993461,-2.24299,0.519049,2.46051,0.651234
479839.411843,1,-0.717985,0.0150759,0.993457,-2.24299,0.519049,2.46051,0.651239
479839.416812,1,-0.717987,0.0150793,0.993455,-2.24299,0.519048,2.46051,0.651231
479839.421828,1,-0.717985,0.0150774,0.993461,-2.24299,0.519049,2.4605,0.651228
479839.426832,1,-0.717984,0.0150814,0.993457,-2.24299,0.519047,2.46051,0.651232
479839.431762,1,-0.717985,0.0150782,0.993461,-2.24299,0.519043,2.46051,0.651237
